Train Epoch: 1 [400/10065 (4%)]	Loss: 0.170874	Avg Loss: 1.988338	Avg Acc: 53.500000%	Avg URS: 68.085106%
Train Epoch: 1 [800/10065 (8%)]	Loss: 1.018181	Avg Loss: 1.324524	Avg Acc: 66.750000%	Avg URS: 80.272109%
Train Epoch: 1 [1200/10065 (12%)]	Loss: 0.543312	Avg Loss: 1.012552	Avg Acc: 71.500000%	Avg URS: 81.699346%
Train Epoch: 1 [1600/10065 (16%)]	Loss: 0.567903	Avg Loss: 0.927242	Avg Acc: 73.500000%	Avg URS: 82.758621%
Train Epoch: 1 [2000/10065 (20%)]	Loss: 0.368572	Avg Loss: 1.046220	Avg Acc: 72.250000%	Avg URS: 82.051282%
Train Epoch: 1 [2400/10065 (24%)]	Loss: 0.430111	Avg Loss: 0.781546	Avg Acc: 77.000000%	Avg URS: 82.269504%
Train Epoch: 1 [2800/10065 (28%)]	Loss: 1.078407	Avg Loss: 0.792178	Avg Acc: 78.500000%	Avg URS: 81.333333%
Train Epoch: 1 [3200/10065 (32%)]	Loss: 0.665048	Avg Loss: 0.918080	Avg Acc: 74.750000%	Avg URS: 78.846154%
Train Epoch: 1 [3600/10065 (36%)]	Loss: 0.064986	Avg Loss: 0.921249	Avg Acc: 74.750000%	Avg URS: 76.086957%
Train Epoch: 1 [4000/10065 (40%)]	Loss: 0.161423	Avg Loss: 0.755507	Avg Acc: 78.250000%	Avg URS: 80.141844%
Train Epoch: 1 [4400/10065 (44%)]	Loss: 2.146553	Avg Loss: 0.933883	Avg Acc: 73.750000%	Avg URS: 86.577181%
Train Epoch: 1 [4800/10065 (48%)]	Loss: 1.073505	Avg Loss: 0.853539	Avg Acc: 74.750000%	Avg URS: 80.555556%
Train Epoch: 1 [5200/10065 (52%)]	Loss: 0.396249	Avg Loss: 0.767820	Avg Acc: 78.750000%	Avg URS: 87.943262%
Train Epoch: 1 [5600/10065 (56%)]	Loss: 0.654709	Avg Loss: 0.605286	Avg Acc: 81.000000%	Avg URS: 83.552632%
Train Epoch: 1 [6000/10065 (60%)]	Loss: 1.801385	Avg Loss: 0.748580	Avg Acc: 77.000000%	Avg URS: 82.876712%
Train Epoch: 1 [6400/10065 (64%)]	Loss: 0.498473	Avg Loss: 0.749510	Avg Acc: 75.500000%	Avg URS: 82.432432%
Train Epoch: 1 [6800/10065 (68%)]	Loss: 0.075108	Avg Loss: 0.845799	Avg Acc: 77.750000%	Avg URS: 80.272109%
Train Epoch: 1 [7200/10065 (72%)]	Loss: 0.317065	Avg Loss: 0.744247	Avg Acc: 76.000000%	Avg URS: 85.517241%
Train Epoch: 1 [7600/10065 (75%)]	Loss: 0.440299	Avg Loss: 0.654211	Avg Acc: 80.000000%	Avg URS: 85.135135%
Train Epoch: 1 [8000/10065 (79%)]	Loss: 0.983025	Avg Loss: 0.691718	Avg Acc: 76.250000%	Avg URS: 82.677165%
Train Epoch: 1 [8400/10065 (83%)]	Loss: 1.066849	Avg Loss: 0.698374	Avg Acc: 82.000000%	Avg URS: 82.352941%
Train Epoch: 1 [8800/10065 (87%)]	Loss: 7.813928	Avg Loss: 0.727588	Avg Acc: 78.500000%	Avg URS: 85.915493%
Train Epoch: 1 [9200/10065 (91%)]	Loss: 0.098263	Avg Loss: 0.677792	Avg Acc: 76.750000%	Avg URS: 79.310345%
